4,5,6,7,8,9,10,year_value
0.06,0.23,0.58,0.39,0.1,0.16,0.03,1.55
1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0
0.2,0.74,1.93,1.26,0.32,0.53,0.1,0.42
