1,2,3,4,10,11,12,year_value
2.64,1.72,0.85,0.19,0.38,2.02,4.02,11.81
11.0,7.0,4.0,2.0,4.0,6.0,13.0,31.0
8.52,6.14,2.74,0.63,1.23,6.73,12.97,3.24
